feature,class
"[-4.2084821e+02  1.5288312e+02 -5.6196068e+01 -6.3674965e+00
  6.0892053e+00 -3.9988018e+01 -7.3599052e+00 -5.5757442e+00
 -2.6044895e+01 -2.9632974e+00 -9.6545343e+00 -2.0756618e+01
 -1.3722074e+00 -8.6079235e+00 -1.3107352e+01  1.1830243e+00
 -8.5646572e+00 -9.9559851e+00  1.9588765e+00 -6.1308918e+00
 -6.0986528e+00  5.4140526e-01 -4.9883385e+00  1.6959295e-01
  2.2975118e+00 -7.5866523e+00 -3.1437175e+00  8.1189841e-02
 -5.5725465e+00 -1.8906044e+00 -2.4697371e+00 -5.3519974e+00
  8.4970540e-01 -9.4744861e-01 -3.6536760e+00  1.4171083e+00
 -1.9639797e+00 -4.0868630e+00  4.5930395e-01 -1.9112241e+00]",belly_pain
"[-4.97136566e+02  1.10352684e+02 -5.11886826e+01 -1.50291481e+01
  1.10090685e+01 -2.71459732e+01 -1.13846884e+01  5.36425352e+00
 -1.19785328e+01 -6.33226776e+00  2.24705434e+00 -5.30904865e+00
 -5.24831390e+00 -5.96518421e+00 -7.79201841e+00 -5.09783149e-01
  4.88273478e+00  8.13493538e+00  9.49639988e+00  2.85396910e+00
 -2.18900776e+00 -2.44266891e+00 -1.53756070e+00  1.92834222e+00
 -4.33000624e-01 -7.34505081e+00 -5.98930168e+00 -1.67056954e+00
 -9.67094839e-01 -1.92890227e+00 -5.18488789e+00 -3.23476005e+00
  4.46485758e+00  4.61210728e+00  7.11203277e-01  1.44358122e+00
  1.26403415e+00 -1.21611595e+00 -3.27047491e+00 -3.40743613e+00]",belly_pain
"[-4.2496246e+02  1.4632152e+02 -7.1411118e+01 -1.0220895e+01
  2.5967686e+01 -4.0226372e+01 -2.0935383e+01  1.7614529e+01
 -9.0600729e-01 -7.0337219e+00 -2.8756974e+00 -5.8113270e+00
 -1.6270798e+00 -6.9300117e+00 -1.1575964e+01 -2.5327642e+00
 -3.1777155e-01  8.2839894e-01  6.0564084e+00  3.1335046e+00
  1.1404208e+00 -1.6164982e-01 -5.7223902e+00 -2.8528304e+00
  8.1588161e-01 -3.1422751e+00 -2.7431185e+00 -1.6496058e+00
 -3.2119038e+00 -7.5918716e-01 -1.2289668e+00 -3.7136025e+00
 -1.7825469e+00 -2.1970944e+00 -2.2361324e+00  8.8040531e-01
 -6.0833102e-01 -1.0263931e+00  2.0692348e+00 -8.4465504e-02]",belly_pain
"[-3.1027640e+02  1.7054625e+02 -6.6570526e+01  5.4694333e+00
  1.1205345e+01 -5.1363796e+01 -9.7423935e+00 -1.0510047e+01
 -3.3263744e+01  4.4367981e-01 -9.0447388e+00 -2.2012964e+01
  1.9836780e+00 -1.0724823e+01 -1.4448489e+01  5.4052453e+00
 -7.6380653e+00 -7.4090056e+00  4.8676348e+00 -1.1037568e+01
 -1.0212294e+01 -2.3002417e+00 -1.2832794e+01 -4.8283505e+00
  7.8275818e-01 -9.8555508e+00 -2.0624106e+00  1.8042748e+00
 -4.4286218e+00  3.8468611e+00  3.4197209e+00 -1.5657512e+00
  6.6221309e+00  3.3055294e+00 -2.3901205e+00  3.1513522e+00
 -1.4861658e-01 -1.5600312e+00  3.2600226e+00 -1.6852150e+00]",belly_pain
"[-4.0953317e+02  1.8898441e+02 -9.8383614e+01  4.3765216e+00
  1.8664122e+01 -5.1299496e+01  7.7387033e+00  1.2702764e+00
 -3.6155739e+01  4.6668868e+00 -6.3205233e+00 -2.3887499e+01
  6.2852187e+00 -6.8510265e+00 -1.0725111e+01  1.2735233e+01
 -4.4349656e+00 -8.1954622e+00  3.1895409e+00 -1.2253899e+01
 -6.3469148e+00  2.3914378e+00 -1.1818189e+01 -4.0719299e+00
  9.8475403e-01 -8.9694309e+00  2.6275453e-01  7.0236278e-01
 -5.7942467e+00  5.0865922e+00  1.9176480e+00 -4.8890920e+00
  3.2620203e+00 -7.7056336e-01 -3.5858736e+00  2.7838752e+00
 -2.3884225e+00 -2.5877218e+00  7.7209824e-01 -5.0521913e+00]",belly_pain
"[-3.8252136e+02  1.6347487e+02 -7.1058746e+01 -8.0608578e+00
  7.6952186e+00 -4.4040051e+01 -5.9040136e+00 -7.6900415e+00
 -3.2529472e+01 -4.8071587e-01 -5.3418269e+00 -2.2677967e+01
 -4.4913969e+00 -1.0901741e+01 -1.2272562e+01  5.6415782e+00
 -3.9635632e+00 -4.0585518e+00  6.0073857e+00 -8.2628460e+00
 -7.4159346e+00  1.7813979e+00 -7.3665595e+00 -3.0654414e+00
  1.5387173e+00 -7.8679748e+00 -2.7963152e+00 -1.5331551e-01
 -6.4626427e+00  4.8879540e-01  2.0848579e+00 -1.3572917e+00
  5.2964935e+00  2.7819359e+00 -1.6963634e+00  2.9222825e+00
 -1.2116450e+00 -3.0679071e+00  3.0948684e+00 -2.9184356e-01]",belly_pain
"[-3.8275143e+02  1.4372040e+02 -7.6771889e+01  6.9784820e-01
  9.9757023e+00 -4.7155201e+01  1.2220552e-01  1.5716841e+00
 -2.7088211e+01  3.7000606e+00 -2.2138753e+00 -1.9250311e+01
 -2.0873012e-02 -8.2891340e+00 -1.2399614e+01  3.0840423e+00
 -6.7901039e+00 -4.9807682e+00  5.6017284e+00 -5.6074524e+00
 -2.7516696e-01  5.9312186e+00 -7.7812014e+00 -3.1781054e+00
  8.1986618e-01 -8.8261480e+00 -2.0609262e+00 -2.3288069e-02
 -6.1243763e+00  1.8147461e+00  3.7598440e-01 -6.0257001e+00
  8.9101869e-01 -2.6683560e-01 -3.0200806e+00  2.3906419e+00
 -4.0108809e-01 -2.6524594e-01  3.7318003e+00 -1.9592021e+00]",belly_pain
"[-4.96821075e+02  1.50725937e+02 -5.68612442e+01 -4.11890805e-01
  1.30990505e+01 -3.28939133e+01 -2.00949526e+00 -6.78629303e+00
 -2.70241718e+01 -1.11441709e-01 -8.81857300e+00 -1.98032780e+01
 -9.94761847e-03 -1.25293894e+01 -1.74861851e+01  9.62900043e-01
 -9.09645653e+00 -1.01876793e+01  5.90264463e+00  1.67372429e+00
  2.98443270e+00  4.91085005e+00 -8.42319584e+00 -5.46626186e+00
 -2.75959581e-01 -7.35215282e+00 -3.33711743e+00 -2.96488285e+00
 -8.33547306e+00 -7.98977911e-01 -7.74247106e-03 -4.85558224e+00
 -8.22387099e-01 -2.42916489e+00 -2.54319191e+00  3.01265359e+00
 -1.31988955e+00 -4.76082921e-01  7.24316263e+00  3.09593034e+00]",belly_pain
"[-4.3262927e+02  1.2065352e+02 -2.2328739e+01  1.2266430e+01
  1.5399782e+01 -2.4356184e+01  1.4575297e-01  6.6606646e+00
 -1.2175415e+01 -7.3174399e-01 -7.2504101e+00 -2.0884287e+01
 -4.9535570e+00 -2.0111966e+00 -7.8926187e+00  1.4941739e+00
  1.9238721e+00 -1.4353484e+00 -1.2767584e+00 -9.7318535e+00
 -9.4137774e+00 -2.3972936e+00 -7.4471540e+00 -9.0486774e+00
 -5.4804673e+00 -7.9304671e+00 -5.9573674e+00 -3.0935726e+00
 -5.5541515e+00 -2.7557199e+00  5.7218498e-01 -1.0916028e+00
 -1.1580986e+00 -1.7592137e+00 -2.3957832e+00 -1.0995111e+00
 -2.6855597e+00 -2.8096905e+00 -6.9253772e-01 -2.6918604e+00]",belly_pain
"[-2.2951822e+02  1.4287280e+02 -1.5060011e+02  9.2660122e+00
  3.7796650e+01 -6.0810764e+01  1.1238881e+01  2.1257792e+01
 -3.9561611e+01 -3.4313879e+00  8.0997877e+00 -1.1132147e+01
  2.9318120e+00 -1.1088676e+01 -1.0723692e+01  1.2471585e+01
 -4.9845023e+00 -5.6082149e+00  1.1284107e+01 -3.2637100e+00
 -1.3181306e-01  9.0179987e+00 -6.3347516e+00 -3.6425602e+00
 -3.3157963e-01 -8.3818951e+00  2.5042667e+00  1.5410652e+00
 -1.0360391e+01 -1.5843310e+00 -4.1544101e-01 -4.4533787e+00
  2.5562127e+00 -2.7230201e+00 -5.0998135e+00  3.6836257e+00
 -8.1588531e-01 -2.0387766e+00  3.8402770e+00 -4.5726702e-01]",belly_pain
